大カテゴリ	小カテゴリ	条文No（判例）	問題文	解答1	解答2	解答3	解答4
民法	担保物権	民法第371条	抵当権は、その担保する債権について{0}があったときは、その後に生じた抵当不動産の果実に及ぶ。	不履行			
民法	担保物権	民法第388条（法定地上権）	土地及びその上に存する建物が同一の所有者に属する場合において、その土地又は建物につき抵当権が設定され、その実行により所有者を異にするに至ったときは、その建物について、{0}が設定されたものとみなす。	地上権			
民法	担保物権	民法第389条	抵当権の{0}後に抵当地に建物が築造されたときは、抵当権者は、{1}とともにその建物を競売することができる。	設定	土地		
民法	債権総論	民法第401条	種類債権の目的物の品質を定めることができないときは、債務者は{0}の品質を有する物を給付しなければならない。種類債権の目的物が特定するのは、債務者が物の給付をするのに必要な行為を{1}し、又は債権者の{2}を得てその給付すべき物を{3}したときである。	中等	完了	同意	指定
民法	債権総論	民法第400条	債権の目的が特定物の引渡しであるときは、債務者は、その引渡しをするまで、契約その他の債権の発生原因及び取引上の社会通念に照らして定まる{0}の注意をもって、その物を保存しなければならない。	善良な管理者			
民法	債権総論	民法第415条	債務者がその債務の{0}に従った履行をしないとき又は債務の履行が不能であるときは、債権者は、これによって生じた損害の賠償を請求することができる。	本旨			
民法	債権総論	民法第416条	債務の不履行に対する損害賠償の請求は、これによって{0}に生ずべき損害の賠償をさせることをその目的とする。	通常			
民法	債権総論	民法第418条（過失相殺）	債務の不履行又はこれによる損害の発生若しくは拡大に関して債権者に{0}があったときは、裁判所は、これを考慮して、損害賠償の責任及びその額を定める。	過失			
民法	責任財産の保全	民法第423条（債権者代位権）	債権者は、自己の債権を保全するため必要があるときは、債務者に属する権利を行使することができる。ただし、債務者の{0}に専属する権利は、この限りでない。	一身			
民法	責任財産の保全	民法第424条（詐害行為取消請求）	債権者は、債務者が債権者を害することを知ってした行為の取消しを{0}に請求することができる。ただし、{1}を目的としない行為については、この限りでない。	裁判所	財産権		
民法	責任財産の保全	民法第424条の7	詐害行為取消請求に係る訴えについては、受益者に対する訴えは{0}を被告とし、転得者に対する訴えはその相手方である{1}を被告とする。	受益者	転得者		
民法	連帯債務	民法第436条	債務の目的がその性質上{0}である場合において、{1}又は{2}によって数人が連帯して債務を負担するときは、債権者は、その連帯債務者の一人に対し、又は全ての連帯債務者に対し、全部又は一部の履行を請求することができる。	可分	法令の規定	当事者の意思表示	
民法	連帯債務	民法第439条	連帯債務者の一人が債権者に対して債権を有する場合において、その連帯債務者が{0}を援用したときは、債権は、全ての連帯債務者の利益のために消滅する。	相殺			
民法	連帯債務	民法第442条	連帯債務者の一人が弁済をし、その他自己の財産をもって共同の免責を得たときは、その連帯債務者は、その免責を得た額が自己の負担部分を超えるかどうかにかかわらず、他の連帯債務者に対し、各自の負担部分に応じた額の{0}を有する。	求償権			
民法	保証債務	民法第446条	保証人は、{0}がその債務を履行しないときに、その履行をする責任を負う。	主たる債務者			
民法	保証債務	民法第446条2項	保証契約は、{0}でしなければ、その効力を生じない。	書面			
民法	保証債務	民法第446条3項	保証契約がその内容を記録した{0}によってされたときは、その保証契約は、書面によってされたものとみなす。	電磁的記録			
民法	保証債務	民法第450条	債務者が保証人を立てる義務を負う場合には、その保証人は、{0}であること、{1}を有することの要件を具備する者でなければならない。	行為能力者	弁済をする資力		
民法	債権譲渡	民法第466条	債権は、譲り渡すことができる。ただし、その{0}がこれを許さないときは、この限りでない。	性質			
民法	債権譲渡	民法第466条2項	当事者が債権の譲渡を禁止し、又は制限する旨の{0}をしたときであっても、債権の譲渡は、その効力を妨げられない。	意思表示			
民法	債権譲渡	民法第467条	債権の譲渡は、譲渡人が債務者に{0}をし、又は債務者が{1}をしなければ、債務者その他の第三者に対抗することができない。	通知	承諾		
民法	債権譲渡	民法第467条2項	債権譲渡の対抗要件として、債務者以外の第三者に対抗するには、通知又は承諾は、{0}によってしなければならない。	確定日付のある証書			
民法	弁済	民法第474条	弁済をするについて{0}を有する者でない第三者は、債務者の意思に反して弁済をすることができない。	正当な利益			
民法	弁済	民法第483条	債権の目的が特定物の引渡しである場合において、契約その他の債権の発生原因及び取引上の社会通念に照らしてその引渡しをすべき時の品質を定めることができないときは、弁済をする者は、その引渡しをすべき時の{0}でその物を引き渡さなければならない。	現状			
民法	弁済	民法第484条	弁済をすべき場所について別段の意思表示がないときは、特定物の引渡しは{0}の時にその物が存在した場所において、その他の弁済は{1}においてしなければならない。	債権発生	債権者の現在の住所		
民法	弁済	民法第493条	弁済の提供は、債務の本旨に従って現実にしなければならない。ただし、債権者があらかじめその受領を拒み、又は債務の履行について債権者の行為を要するときは、弁済の{0}をしたことを{1}してその受領の{2}をすれば足りる。	準備	通知	催告	
民法	相殺	民法第505条	2人が互いに{0}を有する債務を負担する場合において、双方の債務が{1}にあるときは、各債務者は、その対当額について相殺によってその債務を免れることができる。	同種の目的	弁済期		
民法	相殺	民法第506条	相殺は、当事者の一方から相手方に対する意思表示によってする。この場合において、その意思表示には、{0}又は{1}を付することができない。	条件	期限		
民法	相殺	民法第511条	差押えを受けた債権の第三債務者は、{0}に取得した債権による相殺をもって差押債権者に対抗することはできないが、{1}に取得した債権による相殺をもって対抗することができる。	差押え後	差押え前		
民法	契約の解除	民法第540条	契約又は法律の規定により当事者の一方が解除権を有するときは、その解除は、相手方に対する{0}によってする。	意思表示			
民法	契約の解除	民法第540条2項	解除の意思表示は、{0}することができない。	撤回			
民法	契約の解除	民法第541条	当事者の一方がその債務を履行しない場合において、相手方が{0}を定めてその履行の{1}をし、その期間内に履行がないときは、相手方は、契約の解除をすることができる。	相当の期間	催告		
民法	売買契約	民法第562条	引き渡された目的物が種類、品質又は数量に関して{0}に適合しないものであるときは、買主は、売主に対し、目的物の修補、代替物の引渡し又は不足分の引渡しによる{1}を請求することができる。	契約の内容	履行の追完		
民法	売買契約	民法第563条	買主が{0}を定めて{1}の{2}をし、その期間内に{1}がないときは、買主は、その不適合の程度に応じて{3}を請求することができる。	相当の期間	履行の追完	催告	代金の減額
民法	売買契約	民法第566条	売主が{0}又は{1}に関して契約の内容に適合しない目的物を買主に引き渡した場合において、買主がその不適合を知った時から{2}以内にその旨を売主に{3}しないときは、買主は、その不適合を理由として、履行の追完の請求、代金の減額の請求、損害賠償の請求及び契約の解除をすることができない。	種類	品質	1年	通知
民法	賃貸借契約	民法第601条	賃貸借は、当事者の一方がある物の{0}を相手方にさせることを約し、相手方がこれに対してその{1}を支払うことを約することによって、その効力を生ずる。	使用及び収益	賃料		
民法	賃貸借契約	民法第608条	賃借人は、賃借物について賃貸人の負担に属する{0}を支出したときは、賃貸人に対し、直ちにその償還を請求することができる。	必要費			
民法	賃貸借契約	民法第608条2項	賃借人が賃借物について{0}を支出したときは、賃貸人は、賃貸借の終了の時に、第196条第2項の規定に従い、その償還をしなければならない。ただし、裁判所は、賃貸人の請求により、その償還について{1}を許与することができる。	有益費	相当の期限		
民法	賃貸借契約	民法第612条	賃借人は、{0}を得なければ、その賃借権を譲り渡し、又は賃借物を転貸することができない。	賃貸人の承諾			
民法	賃貸借契約	民法第612条2項	賃借人が前項の規定に違反して第三者に賃借物の使用又は収益をさせたときは、賃貸人は、{0}をすることができる。	契約の解除			
民法	賃貸借契約	民法第613条	賃借人が適法に賃借物を転貸したときは、転借人は、賃貸人と賃借人との間の賃貸借に基づく{0}の範囲を限度として、賃貸人に対して{1}に基づく債務を直接履行する義務を負う。この場合においては、賃料の{2}をもって賃貸人に対抗することができない。	賃借人の債務	転貸借	前払	
民法	請負契約	民法第633条	報酬は、仕事の目的物の{0}と同時に、支払わなければならない。	引渡し			
民法	請負契約	民法第641条	請負人が{0}しない間は、注文者は、いつでも{1}して契約の解除をすることができる。	仕事を完成	損害を賠償		
民法	委任契約	民法第644条	受任者は、{0}に従い、{1}の注意をもって、委任事務を処理する義務を負う。	委任の本旨	善良な管理者		
民法	委任契約	民法第651条	委任の解除をした者は、相手方の{0}をしなければならない。ただし、{1}があったときは、この限りでない。	損害を賠償	やむを得ない事由		
民法	事務管理	民法第698条（緊急事務管理）	管理者は、本人の身体、名誉又は財産に対する{0}を免れさせるために事務管理をしたときは、{1}又は{2}があるのでなければ、これによって生じた損害を賠償する責任を負わない。	急迫の危害	悪意	重大な過失	
民法	事務管理	民法第700条	管理者は、本人又はその相続人若しくは法定代理人が管理をすることができるに至るまで、事務管理を継続しなければならない。ただし、事務管理の継続が{0}に反し、又は{1}であることが明らかであるときは、この限りでない。	本人の意思	本人に不利		
民法	事務管理	民法第702条	管理者は、本人のために{0}を支出したときは、本人に対し、その{1}を請求することができる。	有益な費用	償還		
民法	不当利得	民法第703条	{0}なく他人の財産又は労務によって{1}を受け、そのために他人に{2}を及ぼした者は、その利益の存する限度において、これを返還する義務を負う。	法律上の原因	利益	損失	
民法	不当利得	民法第704条	悪意の受益者は、その受けた利益に{0}を付して返還しなければならない。	利息			
民法	不当利得	民法第706条	債務者は、{0}にない債務の弁済として給付をしたときは、その給付したものの返還を請求することができない。ただし、債務者が{1}によってその給付をしたときは、債権者は、これによって得た利益を返還しなければならない。	弁済期	錯誤		
民法	不当利得	民法第707条	債務者でない者が錯誤によって債務の弁済をした場合において、債権者が{0}で{1}を滅失させ若しくは損傷し、{2}を放棄し、又は{3}によってその債権を失ったときは、その弁済をした者は、返還の請求をすることができない。	善意	証書	担保	時効
民法	不法行為	民法第709条	{0}又は{1}によって他人の権利又は{2}を侵害した者は、これによって生じた損害を賠償する責任を負う。	故意	過失	法律上保護される利益	
民法	不法行為	民法第712条	未成年者は、他人に損害を加えた場合において、自己の行為の{0}を弁識するに足りる知能を備えていなかったときは、その行為について賠償の{0}を負わない。	責任			
民法	不法行為	民法第713条	精神上の障害により自己の行為の{0}を弁識する能力を欠く状態にある間に他人に損害を加えた者は、その賠償の{0}を負わない。ただし、{1}又は{2}によって{3}にその状態を招いたときは、この限りでない。	責任	故意	過失	一時的
民法	不法行為	民法第714条	責任無能力者がその責任を負わない場合において、その{0}を監督する法定の義務を負う者は、その責任無能力者が第三者に加えた損害を賠償する責任を負う。ただし、監督義務者がその義務を怠らなかったとき、又はその義務を怠らなくても損害が生ずべきであったときは、この限りでない。	責任無能力者			
民法	不法行為	民法第715条	ある事業のために他人を使用する者は、被用者がその{0}について第三者に加えた損害を賠償する責任を負う。ただし、使用者が{1}及びその{2}について{3}をしたとき、又は相当の注意をしても損害が生ずべきであったときは、この限りでない。	事業の執行	被用者の選任	事業の監督	相当の注意
民法	不法行為	民法第716条	注文者は、請負人がその仕事について第三者に加えた損害を賠償する責任を負わない。ただし、{0}又は{1}についてその注文者に{2}があったときは、この限りでない。	注文	指図	過失	
民法	不法行為	民法第717条	土地の工作物の設置又は保存に{0}があることによって他人に{1}を生じたときは、その工作物の占有者は、被害者に対してその損害を賠償する責任を負う。ただし、占有者が{2}をしたときは、所有者がその損害を賠償しなければならない。	瑕疵	損害	必要な注意	
民法	不法行為	民法第719条	数人が共同の不法行為によって他人に損害を加えたときは、各自が{0}してその損害を賠償する責任を負う。	連帯			
民法	不法行為	民法第719条2項	行為者を{0}した者及び{1}した者は、共同行為者とみなして、共同不法行為の規定を適用する。	教唆	幇助		
民法	不法行為	民法第724条	不法行為による損害賠償の請求権は、被害者又はその法定代理人が損害及び加害者を知った時から{0}間行使しないときは、時効によって消滅する。	3年			
民法	婚姻	民法第742条	婚姻は、次に掲げる場合に限り、無効とする。一 人違いその他の事由によって当事者間に婚姻をする{0}がないとき。二 当事者が婚姻の{1}をしないとき。	意思	届出		
民法	婚姻	民法第747条	詐欺又は強迫によって婚姻をした者は、その婚姻の取消しを{0}に請求することができる。	家庭裁判所			
民法	婚姻	民法第748条	婚姻の取消しは、{0}その効力を生ずる。	将来に向かってのみ			
民法	離婚・親権	民法第766条	父母が協議上の離婚をするときは、子の監護をすべき者、父又は母と子との面会及びその他の交流、子の監護に要する費用の分担その他の子の監護について必要な事項は、その{0}で定める。この場合においては、{1}を最も優先して考慮しなければならない。	協議	子の利益		
民法	離婚・親権	民法第768条	協議上の離婚をした者の一方は、相手方に対して{0}を請求することができる。{1}が整わないとき、又は協議をすることができないときは、当事者は、{2}に対して協議に代わる処分を請求することができる。ただし、離婚の時から{3}を経過したときは、この限りでない。	財産の分与	協議	家庭裁判所	5年
民法	離婚・親権	民法第819条	父母が協議上の離婚をするときは、その{0}で、その{1}を親権者と定める。	協議	双方又は一方		
民法	親子	民法第772条	妻が婚姻中に懐胎した子は、{0}における夫の子と推定する。	当該婚姻			
民法	親子	民法第772条2項	婚姻の成立の日から{0}以内に生まれた子は、婚姻前に懐胎したものと推定し、婚姻の成立の日から{0}を経過した後又は婚姻の解消若しくは取消しの日から{1}以内に生まれた子は、婚姻中に懐胎したものと推定する。	200日	300日		
民法	親子	民法第774条	第772条の規定により子の父が定められる場合において、{0}は、子が嫡出であることを否認することができる。	父又は子			
民法	親子	民法第774条・775条	{0}は、{1}により、子が嫡出であることを否認することができる。子の否認権については、親権を行う{2}又は{3}がこれを行う。	父又は子	嫡出否認の訴え	母	特別代理人
民法	親子	民法第777条	嫡出否認の訴えは、それぞれ当該各号に定める時から{0}以内に提起しなければならない。一 父の否認権 {1}時	3年	父が子の出生を知った		
民法	相続	民法第915条	相続人は、自己のために{0}があったことを知った時から{1}以内に、相続について、単純若しくは限定の承認又は放棄をしなければならない。	相続の開始	3箇月		
民法	相続	民法第939条	相続の放棄をした者は、その相続に関しては、初めから相続人とならなかったものと{0}。	みなす			
民法	遺言	民法第961条	{0}に達した者は、遺言をすることができる。	15歳			
民法	遺言	民法第973条	成年被後見人が事理を弁識する能力を一時回復した時において遺言をするには、{0}の立会いがなければならない。医師は、遺言者が遺言をする時において{1}により事理を弁識する能力を欠く状態になかった旨を遺言書に付記しなければならない。この規定は{2}遺言には適用しない。	医師2人以上	精神上の障害	秘密証書	
民法	遺言	民法第987条	遺贈義務者その他の利害関係人は、受遺者に対し、{0}を定めて、その期間内に遺贈の承認又は放棄をすべき旨の{1}をすることができる。この場合において、受遺者がその期間内に遺贈義務者に対してその意思を表示しないときは、遺贈を{2}したものとみなす。	相当の期間	催告	承認	
民法	遺言	民法第1004条	遺言書の保管者は、相続の開始を知った後、遅滞なく、これを{0}に提出して、その{1}を請求しなければならない。	家庭裁判所	検認		
民法	民法判例	最判昭43.10.8（土地賃借権の取得時効）	【判例】土地の{0}という{1}が存在し、かつ、それが{2}に基づくことが{3}されているときは、土地賃借権を時効により取得することができる。	継続的な用益	外形的事実	賃借の意思	客観的に表現
民法	民法判例	最判平18.1.17（背信的悪意者）	【判例】不動産の取得時効完成後に第三者が所有権移転登記をした場合において、時効取得者が多年にわたり当該不動産を占有している事実を{0}しており、時効取得者の{1}を主張することが信義則に反すると認められるときは、当該第三者は{2}に当たる。	認識	登記の欠缺	背信的悪意者	
民法	民法判例	最判平1.11.24（共有者の一人が死亡した場合）	【判例】共有者の一人が死亡し、{0}が確定したときは、その共有持分は、他の相続財産とともに、958条の2の規定に基づく{1}に対する財産分与の対象となる。	相続人の不存在	特別縁故者		
民法	民法判例	最大判平11.11.24（抵当権に基づく妨害排除請求）	【判例】抵当権者は、抵当不動産の{0}の実現が妨げられ、抵当権者の{1}の行使が困難となる場合には、抵当権に基づく妨害排除請求をすることができる。	交換価値	優先弁済請求権		
民法	民法判例	最判昭49.3.7（債権の二重譲渡）	【判例】債権が二重に譲渡された場合、譲受人相互の間の優劣は、{0}による{1}が債務者に{2}した日の先後によって決すべきである。	確定日付のある証書	通知	到達	
民法	民法判例	最判平9.2.25（賃貸借の解除と転貸借）	【判例】賃貸借が賃借人の債務不履行を理由とする解除により終了した場合、賃貸人の承諾ある転貸借は、原則として、賃貸人が転借人に対して{0}を請求した時に、転貸人の転借人に対する債務の{1}により終了する。	目的物の返還	履行不能		
民法	民法判例	最判昭51.7.8（使用者の求償権の範囲）	【判例】使用者の被用者に対する求償は、諸般の事情に照らし、{0}という見地から{1}上相当と認められる限度に制限される。	損害の公平な分担	信義則		
民法	民法判例	最判昭42.6.27（被害者側の過失）	【判例】過失相殺の対象となる被害者の過失には、被害者側の過失をも包含し、被害者側の過失とは、被害者本人と{0}ないしは{1}一体をなすとみられる関係にある者の過失をいう。	身分上	生活関係上		
民法	民法判例	最判昭44.12.18（日常家事代理権と表見代理）	【判例】夫婦の一方が761条所定の日常の家事に関する代理権の範囲を越えて第三者と法律行為をした場合においては、その行為がその夫婦の{0}の範囲内に属すると信ずるにつき{1}のあるときに限り、110条の趣旨を類推して第三者の保護を図れば足りる。	日常の家事に関する法律行為	正当な理由		
民法	民法判例	最判平13.11.22（遺留分侵害額請求権の代位行使）	【判例】遺留分侵害額請求権は、権利者がこれを行使する{0}な意思を{1}した時に初めて行使することができる。遺留分侵害額請求権は一身専属的権利であるから、権利者が行使の意思を表明しない限り、債権者がこれを代位行使することはできない。	確定的	外部に表明		
民法	民法判例	最判平7.9.19（転用物訴権）	【判例】転用物訴権の事案において、契約関係の{0}についてみて給付が{1}なしに行われたと認められるときには、不当利得返還請求は認められない。	全体	対価関係		
民法	民法判例	最判昭49.3.22（責任能力ある未成年者と監督義務者の責任）	【判例】責任能力のある未成年者が不法行為をした場合、監督義務者の義務違反と当該未成年者の不法行為によって生じた{0}との間に{1}があるときは、監督義務者は民法709条により賠償責任を負う。	結果	相当因果関係		
行政法 / 国家賠償・損失補償	国家賠償法1条	最判昭60.11.21（在宅投票制度廃止事件）	【判例】国会議員の立法行為は、本質的に{0}なものであって、その当否は国民の判断に委ねられるべきものであり、仮に立法の内容が憲法に違反するものであるとしても、直ちに国家賠償法上{1}な評価を受けるものではない。ただし、立法の内容が憲法の{2}な文言に違反しているにもかかわらず国会があえて当該立法を行う場合は除かれる。	政治的	法的	一義的	
行政法 / 国家賠償・損失補償	国家賠償法2条	最判昭45.8.20（高知落石事件）	【判例】国家賠償法2条1項の営造物の設置又は管理の瑕疵とは、営造物が通常有すべき{0}を欠いていることをいい、賠償責任については、その管理者の{1}の存在を必要としない。	安全性	過失		
行政法 / 国家賠償・損失補償	国家賠償法2条	最判昭59.1.26（多摩川水害訴訟）	【判例】河川の管理についての瑕疵の有無は、過去の水害の規模・頻度・発生原因等の諸般の事情を総合的に考慮し、{0}の有無と{1}の可能性に照らして判断すべきであり、改修の{2}としての{3}の有無によって決すべきである。	予測	回避	段階	瑕疵
行政法 / 国家賠償・損失補償	損失補償	最大判昭28.12.23（農地改革事件）	【判例】憲法29条3項にいう{0}とは、その当時の経済状態において成立すると考えられる価格に基づき{1}に算出された{2}な額をいう。	正当な補償	合理的	相当	
行政法 / 国家賠償・損失補償	損失補償	最判昭48.10.18（土地収用法における損失補償）	【判例】公共のために私有財産を収用する場合の損失補償は、{0}を課された者に対して{1}をすべきであり、収用の前後を通じて被収用者の財産価値を等しくならしめるような補償をなすべきである。	特別な犠牲	完全な補償		
商法・会社法	設立	会社法第26条	株式会社の設立に際して、発起人は{0}を作成しなければならない。	定款			
商法・会社法	株式	会社法第107条	株式会社は、{0}の全部又は一部の株式の内容として、譲渡による当該株式の取得について当該株式会社の{1}を要する旨を定めることができる。	その発行する	承認		
商法・会社法	機関	会社法第331条	取締役会設置会社においては、取締役は{0}人以上でなければならない。	3			
商法・会社法	機関	会社法第309条	株主総会の{0}決議は、議決権を行使することができる株主の議決権の{1}以上を有する株主が出席し、出席した当該株主の議決権の{2}をもって行う。	特別	過半数	3分の2以上	
商法・会社法	持分会社	会社法第576条（趣旨）	合同会社の社員は、{0}を限度として、出資の義務を負う。	その出資の価額			
